,CompanyName,Title,location,duration,salary,No_of_applied,Total_postings,Total_hired,Started_since
171,Maxgen Technologies Private Limited,Flutter Development,Ahmedabad,3 Months,"₹ 7,000 - 12,000 /month",81 applicants,128 opportunities posted,,Hiring since November 2024
172,RevoltronX,Mobile App Development,Work from home,6 Months,"₹ 2,000 - 5,000 /month",290 applicants,24 opportunities posted,19 candidates hired,Hiring since July 2024
173,Andaz Kumar,Android App Development,Work from home,1 Month,"₹ 5,000 - 62,000 /month",408 applicants,20 opportunities posted,5 candidates hired,Hiring since October 2022
174,Maxgen Technologies Private Limited,Android App Development,Ahmedabad,3 Months,"₹ 7,000 - 12,000 /month",97 applicants,128 opportunities posted,,Hiring since November 2024
175,Celebrare,Kotlin Developer,Work from home,1 Month,"₹ 7,500 /month",236 applicants,333 opportunities posted,131 candidates hired,Hiring since September 2020
176,Niviverse Technologies Private Limited,Flutter Development,Work from home,6 Months,"₹ 4,000 - 5,000 /month",222 applicants,11 opportunities posted,1 candidate hired,Hiring since December 2024
177,AWASTHI DIGITAL,Android App Development,Bhopal                                                    (Hybrid),3 Months,"₹ 5,000 /month",94 applicants,1 opportunity posted,,Hiring since May 2025
178,NextEdge Labs,AI Flutter Development,Work from home,6 Months,"₹ 7,000 /month",176 applicants,314 opportunities posted,41 candidates hired,Hiring since June 2021
179,Buddha Education Association Incorporation,Mobile App Development,Work from home,1 Month,"₹ 10,000 /month",754 applicants,2123 opportunities posted,13 candidates hired,Hiring since September 2020
180,Basti Ki Pathshala Foundation,Flutter Development,Work from home,3 Months,Unpaid,398 applicants,860 opportunities posted,11388 candidates hired,Hiring since February 2024
181,Kajkarma,Mobile App Development,Work from home,6 Months,"₹ 5,000 /month",559 applicants,30 opportunities posted,1 candidate hired,Hiring since October 2024
182,Meru Technosoft Private Limited,Flutter Development,Ahmedabad,6 Months,"₹ 7,000 - 10,000 /month",29 applicants,17 opportunities posted,19 candidates hired,Hiring since February 2025
183,CloudEye Technologies India Private Limited,Full Stack Web Development,Visakhapatnam,2 Months,"₹ 4,000 - 8,000 /month",41 applicants,93 opportunities posted,10 candidates hired,Hiring since May 2017
184,Practice Buzz,Android App Development,Chandigarh,4 Months,"₹ 20,000 - 40,000 /month",271 applicants,102 opportunities posted,4 candidates hired,Hiring since August 2024
185,DEVNEURAL,Mobile App Development,Work from home,2 Months,"₹ 10,000 - 20,000 /month",358 applicants,10 opportunities posted,5 candidates hired,Hiring since August 2024
186,Loan For India,Mobile App Development,Mumbai,3 Months,"₹ 5,000 - 10,000 /month",78 applicants,5 opportunities posted,,Hiring since December 2024
187,Brave Artificial Intelligence Laboratory,Android App Development,Work from home,3 Months,"₹ 15,000 - 25,000 /month",695 applicants,116 opportunities posted,10 candidates hired,Hiring since January 2021
188,Catalift,Mobile App Development,Work from home,4 Months,"₹ 5,000 - 8,000 /month",458 applicants,2 opportunities posted,,Hiring since April 2025
189,MagicMond Global,Flutter Development,Work from home,3 Months,"₹ 20,000 /month",717 applicants,9 opportunities posted,,Hiring since June 2024
190,Emoolar Technology Private Limited,Mobile App Development,Work from home,3 Months,"₹ 5,000 - 7,000 /month",925 applicants,94 opportunities posted,15 candidates hired,Hiring since August 2021
191,Mintosh Advisory,Mobile App Development,Work from home,3 Months,"₹ 3,000 - 5,000 /month",270 applicants,12 opportunities posted,3 candidates hired,Hiring since November 2023
192,Syscon Electro Tech India Private Limited,Mobile Application Developer (Edge-Connected Cloud Streaming),Work from home,4 Months,"₹ 8,000 - 12,000 /month",52 applicants,3 opportunities posted,,Hiring since April 2025
193,Hostelery Stuff,React Native Mobile Developer (Android & IOS Developer),Bareilly                                                    (Hybrid),2 Months,"₹ 8,005 - 10,005 /month",100 applicants,1 opportunity posted,,Hiring since April 2025
194,Techdome Solutions Private Limited,Flutter Development,"Indore, Hyderabad",6 Months,"₹ 10,000 - 15,000 /month",311 applicants,371 opportunities posted,50 candidates hired,Hiring since March 2021
195,Brihat Infotech Private Limited,Mobile App Development,Work from home,3 Months,"₹ 3,000 - 4,000 /month",433 applicants,218 opportunities posted,149 candidates hired,Hiring since May 2023
196,SNS Square Consultancy Services,Flutter Development,Coimbatore,5 Months,"₹ 10,000 /month",34 applicants,1 opportunity posted,,Hiring since April 2025
197,She Can Foundation,Android App Development,Work from home,3 Months,Unpaid,563 applicants,1288 opportunities posted,27050 candidates hired,Hiring since April 2023
198,Supervaisor.AI,Android App Development,Work from home,3 Months,"₹ 20,000 - 35,000 /month",726 applicants,16 opportunities posted,20 candidates hired,Hiring since February 2025
199,Idea Usher,Flutter Development,Work from home,6 Months,"₹ 12,000 - 15,000 /month",433 applicants,723 opportunities posted,177 candidates hired,Hiring since December 2017
200,WES Consultancy & Services Private Limited,Mobile App Development,Raipur,6 Months,"₹ 6,000 - 8,000 /month",Be an early applicant,45 opportunities posted,9 candidates hired,Hiring since February 2018
201,ITGAI Software Solutions Opc Private Limited,Android App Development,Dehradun,3 Months,"₹ 5,000 /month",254 applicants,2 opportunities posted,,Hiring since February 2025
202,Resolute AI Software Private Limited,Technology Lead,Work from home,3 Months,"₹ 10,000 /month",943 applicants,192 opportunities posted,35 candidates hired,Hiring since June 2020
203,Velozity Global Solutions,Flutter Development,Chennai,6 Months,"₹ 15,000 - 20,000 /month",501 applicants,646 opportunities posted,140 candidates hired,Hiring since June 2021
204,TRUE FILES INDIA LLP,Android App Development,Varanasi,3 Months,"₹ 7,000 - 18,000 /month",Be an early applicant,5 opportunities posted,,Hiring since February 2025
205,Water Town Swim School,Data Analytics,Work from home,4 Months,"₹ 20,000 - 40,000 /month",1000+ applicants,104 opportunities posted,9 candidates hired,Hiring since April 2017
206,Megaminds IT Services,IOT & Cloud Computing,Work from home,6 Months,"₹ 4,000 - 20,000 /month",487 applicants,312 opportunities posted,83 candidates hired,Hiring since March 2019
207,India Accelerator,AWS/Azure Cloud Developer,Gurgaon,3 Months,"₹ 10,000 - 12,000 /month",147 applicants,3 opportunities posted,,Hiring since March 2025
208,Warewe Consultancy Private Limited,Node.js Development,Gurgaon,2 Months,"₹ 10,000 - 15,000 /month",365 applicants,268 opportunities posted,69 candidates hired,Hiring since October 2016
209,Maxgen Technologies Private Limited,AWS DevOps,Pune,3 Months,"₹ 7,000 - 12,000 /month",216 applicants,128 opportunities posted,,Hiring since November 2024
210,Talent Corner HR Services,Integration Specialist,Mumbai,3 Months,"₹ 15,000 lump sum",33 applicants,874 opportunities posted,173 candidates hired,Hiring since March 2020
211,Talent Corner HR Services,Automation Specialist,Mumbai,3 Months,"₹ 15,000 lump sum",41 applicants,874 opportunities posted,173 candidates hired,Hiring since March 2020
212,Talent Corner HR Services,IT Consultant,Mumbai,3 Months,"₹ 15,000 lump sum",88 applicants,874 opportunities posted,173 candidates hired,Hiring since March 2020
213,IESoft Technologies Private Limited,AWS DevOps Engineer,Mumbai,6 Months,"₹ 20,000 - 2,50,000 /month",243 applicants,333 opportunities posted,30 candidates hired,Hiring since June 2021
214,Bansal Hi-tech Systems Private Limited,Digital Marketing,Gurgaon,3 Months,"₹ 3,000 - 5,000 /month",Be an early applicant,2 opportunities posted,,Hiring since March 2025
215,Talent Corner HR Services,Data Engineer,Mumbai,3 Months,"₹ 15,000 lump sum",256 applicants,874 opportunities posted,173 candidates hired,Hiring since March 2020
216,Settyl,Artificial Intelligence (AI),Chennai,6 Months,"₹ 12,000 - 15,000 /month",692 applicants,93 opportunities posted,71 candidates hired,Hiring since February 2021
217,Resolute AI Software Private Limited,GenAI/LLM,Work from home,6 Months,"₹ 5,000 - 8,000 /month",351 applicants,192 opportunities posted,35 candidates hired,Hiring since June 2020
218,CipherSchools,Cloud Computing,Work from home,2 Months,"₹ 20,000 - 30,000 /month",505 applicants,206 opportunities posted,54 candidates hired,Hiring since July 2020
219,Spiritual Sutra Pvt. Ltd,Automation Engineer,Mumbai,3 Months,"₹ 10,000 /month",74 applicants,1 opportunity posted,,Hiring since May 2025
220,WiseAnalytics,DevOps,Bangalore,2 Months,"₹ 5,000 - 20,000 /month",223 applicants,6 opportunities posted,,Hiring since May 2025
221,Rentkar-Switch To Share,Full Stack Development,Mumbai,3 Months,"₹ 10,000 - 12,000 /month",147 applicants,1256 opportunities posted,39 candidates hired,Hiring since October 2019
222,Oddmind Innovations,Full Stack Development,Work from home,2 Months,"₹ 5,000 - 7,500 /month",909 applicants,1 opportunity posted,,Hiring since May 2025
223,Pawzz,Recruitment,Work from home,4 Months,"₹ 7,000 - 20,000 /month",845 applicants,763 opportunities posted,4816 candidates hired,Hiring since January 2024
224,Tap In,Backend Development,Work from home,2 Months,"₹ 11,000 - 25,000 /month",947 applicants,18 opportunities posted,2 candidates hired,Hiring since January 2019
225,WebTree Global Private Limited,Full Stack Development,Work from home,3 Months,"₹ 1,001 - 12,000 /month",584 applicants,60 opportunities posted,49 candidates hired,Hiring since February 2023
226,Maxgen Technologies Private Limited,AWS DevOps Engineer,Ahmedabad,3 Months,"₹ 7,000 - 12,000 /month",203 applicants,128 opportunities posted,,Hiring since November 2024
