,CompanyName,Title,location,duration,salary,No_of_applied,Total_postings,Total_hired,Started_since
311,Coding Junior,Artificial Neural Networks,Work from home,6 Months,Unpaid,433 applicants,1189 opportunities posted,21755 candidates hired,Hiring since August 2021
312,Alien Brains Private Limited,Machine Learning,Work from home,3 Months,"₹ 3,000 - 6,000 /month",798 applicants,11 opportunities posted,,Hiring since November 2018
313,ROBOKALAM,Artificial Intelligence (AI),Warangal,3 Months,"₹ 15,500 - 40,000 lump sum",521 applicants,33 opportunities posted,13 candidates hired,Hiring since April 2020
314,Blaziken Technologies Private Limited,Software Development,Mumbai,6 Months,"₹ 5,000 - 10,000 /month",Be an early applicant,9 opportunities posted,,Hiring since July 2023
315,SIRPI Products & Services Private Limited,Frontend Development (React & Typescript),Bangalore,3 Months,"₹ 13,999 - 14,000 /month",93 applicants,243 opportunities posted,194 candidates hired,Hiring since February 2019
316,iGuru Training Solutions,Flutter Development,Hyderabad,3 Months,"₹ 5,000 - 10,000 /month",83 applicants,10 opportunities posted,,Hiring since November 2023
317,Sedani Digital Private Limited,Software Development Engineering (Web),Work from home,6 Months,"₹ 3,000 /month",261 applicants,36 opportunities posted,11 candidates hired,Hiring since July 2024
318,Electrify Services,Full Stack Development,Ahmedabad,6 Months,"₹ 10,000 - 12,000 /month",69 applicants,19 opportunities posted,1 candidate hired,Hiring since November 2022
319,Furora Pets And Services,WordPress Development,Work from home,4 Months,"₹ 2,000 /month",67 applicants,2 opportunities posted,2 candidates hired,Hiring since April 2025
320,Happho,WordPress Content Management,Work from home,2 Months,"₹ 8,000 /month",59 applicants,50 opportunities posted,46 candidates hired,Hiring since September 2016
321,Lawtech,Javascript Developer,Work from home,3 Months,"₹ 7,000 - 10,000 /month",281 applicants,940 opportunities posted,6 candidates hired,Hiring since July 2022
322,Whatbytes,Backend Development,Work from home,6 Months,"₹ 10,000 - 20,000 /month",331 applicants,19 opportunities posted,1 candidate hired,Hiring since May 2024
323,ServiceHive,Flutter Development,Work from home,6 Months,"₹ 12,000 - 16,000 /month",121 applicants,10 opportunities posted,3 candidates hired,Hiring since May 2024
324,Bridge2job,Automation Specialist,Work from home,6 Months,"₹ 15,000 /month",165 applicants,46 opportunities posted,,Hiring since April 2025
325,Bridge2job,Automation Expert,Work from home,3 Months,"₹ 15,000 /month",166 applicants,46 opportunities posted,,Hiring since April 2025
326,Payinstacard Private Limited,Shopify Developer,Hyderabad,6 Months,"₹ 4,000 - 6,000 /month",27 applicants,13 opportunities posted,1 candidate hired,Hiring since August 2023
327,MentorBoxx,Web Development,Work from home,1 Month,"₹ 10,000 /month",989 applicants,1719 opportunities posted,13 candidates hired,Hiring since April 2021
328,ShipTurtle,Front End Development,Ahmedabad,6 Months,"₹ 10,000 - 15,000 /month",Be an early applicant,14 opportunities posted,,Hiring since March 2023
329,Warewe Consultancy Private Limited,Node.js Development,Gurgaon,2 Months,"₹ 10,000 - 15,000 /month",151 applicants,268 opportunities posted,69 candidates hired,Hiring since October 2016
330,JS Tigers,Software Development,Work from home,6 Months,"₹ 17,280 /month",396 applicants,67 opportunities posted,28 candidates hired,Hiring since September 2017
331,iGuru Training Solutions,Backend Development,Hyderabad,3 Months,"₹ 5,000 - 10,000 /month",147 applicants,10 opportunities posted,,Hiring since November 2023
332,SafeAeon,IT Helpdesk Support Intern,Mohali,6 Months,"₹ 18,000 /month",Be an early applicant,1 opportunity posted,,Hiring since May 2025
333,GamutX,"Full Stack Developer With GenAI Experience (Lovable, v0)",Work from home,3 Months,"₹ 15,000 /month",353 applicants,4 opportunities posted,1 candidate hired,Hiring since September 2024
334,Talent Corner HR Services,Integration Specialist,Mumbai,3 Months,"₹ 15,000 lump sum",Be an early applicant,874 opportunities posted,173 candidates hired,Hiring since March 2020
335,Vishwaroop Education Pvt. Ltd.,WordPress Development,Work from home,3 Months,"₹ 3,000 - 7,000 /month",55 applicants,1 opportunity posted,,Hiring since May 2025
336,Nxtcode,Web Development,Work from home,3 Months,"₹ 7,500 - 15,000 /month",615 applicants,26 opportunities posted,1 candidate hired,Hiring since May 2025
337,Fuel It Online,IT Internship,"Delhi, Indore, Jodhpur, Kanpur, Kolkata, Lucknow, Patna, Udaipur, Mumbai, Varanasi, Jaipur, Noida, Bangalore, Prayagraj Sub-District                                                    (Hybrid)",3 Months,"₹ 2,000 - 10,000 /month",212 applicants,1 opportunity posted,,Hiring since May 2025
338,Maxgen Technologies Private Limited,React JS Developer,Ahmedabad,2 Months,"₹ 7,000 - 12,000 /month",164 applicants,128 opportunities posted,,Hiring since November 2024
339,Maxgen Technologies Private Limited,Flutter Development,Ahmedabad,3 Months,"₹ 7,000 - 12,000 /month",41 applicants,128 opportunities posted,,Hiring since November 2024
340,Sanchit Verma,WordPress Development,Pune                                                    (Hybrid),3 Months,"₹ 5,000 - 10,000 /month",42 applicants,6 opportunities posted,,Hiring since July 2023
341,Endemol Shine India,Information Technology,Mumbai,6 Months,"₹ 8,000 /month",81 applicants,2 opportunities posted,,Hiring since June 2024
342,CodeXcelerate IT Consultancy,PHP Development,Work from home,3 Months,"₹ 2,000 /month",82 applicants,2 opportunities posted,2 candidates hired,Hiring since April 2025
343,Ramsun Enterprise Payments Network Private Limited,Java Development,Delhi,6 Months,"₹ 5,000 - 8,000 /month",59 applicants,29 opportunities posted,5 candidates hired,Hiring since June 2021
344,Nativjoy,Shopify Developer,Work from home,3 Months,"₹ 5,000 - 6,000 /month",80 applicants,4 opportunities posted,,Hiring since July 2024
345,Neonflake Enterprises (OPC) Private Limited,MERN Stack Developer With GenAI Experience,"Secunderabad, Hyderabad",6 Months,"₹ 12,000 /month",35 applicants,9 opportunities posted,,Hiring since May 2024
346,Monkhub,Unity Game Developer,Gurgaon,6 Months,"₹ 10,000 /month",81 applicants,478 opportunities posted,72 candidates hired,Hiring since March 2017
347,"AI Agent Builder (San Francisco, United States)",Software Development Engineering (Web),Work from home,6 Months,"₹ 9,000 - 14,000 /month",757 applicants,1 opportunity posted,,Hiring since May 2025
348,Ridvig Technologies,Full Stack Development,Work from home,1 Month,"₹ 1,000 /month",423 applicants,131 opportunities posted,67 candidates hired,Hiring since July 2020
349,Metagauss,Software Development Engineering (Web),Jaipur,6 Months,"₹ 7,000 - 8,000 /month",Be an early applicant,7 opportunities posted,1 candidate hired,Hiring since November 2024
350,OyeLabs,UI/UX Design,Work from home,6 Months,"₹ 5,000 - 10,000 /month",338 applicants,1085 opportunities posted,95 candidates hired,Hiring since December 2019
380,COSGrid Systems Private Limited,Systems Development Engineer,Chennai,4 Months,"₹ 15,000 - 25,000 /month",224 applicants,101 opportunities posted,93 candidates hired,Hiring since May 2017
385,MentorBoxx,Game Development,Work from home,1 Month,"₹ 10,000 /month",383 applicants,1720 opportunities posted,13 candidates hired,Hiring since April 2021
387,MentorBoxx,Game Development,"Amritsar, Aurangabad, Chandigarh, Delhi, Ghaziabad, Gurgaon, Patiala, Pune, Mumbai, Pimpri-Chinchwad, Noida, Raipur, Nagpur, Nashik",2 Months,"₹ 10,000 /month",354 applicants,1720 opportunities posted,13 candidates hired,Hiring since April 2021
389,Relinns Technologies,Software Testing,Mohali,6 Months,"₹ 10,000 - 12,000 /month",213 applicants,1544 opportunities posted,8 candidates hired,Hiring since May 2017
390,JS Tigers,Software Development,Work from home,6 Months,"₹ 17,280 /month",1000+ applicants,67 opportunities posted,28 candidates hired,Hiring since September 2017
401,Neonflake Enterprises (OPC) Private Limited,MERN Stack Developer With GenAI Experience,"Secunderabad, Hyderabad",6 Months,"₹ 12,000 /month",58 applicants,9 opportunities posted,N/A,Hiring since May 2024
402,Swappd,Backend Development,Work from home,2 Months,"₹ 8,000 /month",1000+ applicants,1 opportunity posted,N/A,Hiring since May 2025
403,"RedKnot (New York, United States)",Web Development,Work from home,6 Months,"₹ 5,000 - 15,000 /month",915 applicants,2 opportunities posted,N/A,Hiring since September 2024
404,InstaWeb Labs Private Limited,Front End Development,Mumbai,6 Months,"₹ 10,000 - 15,000 /month",633 applicants,253 opportunities posted,43 candidates hired,Hiring since May 2017
406,Maxgen Technologies Private Limited,Web Developer,Ahmedabad,3 Months,"₹ 7,000 - 12,000 /month",472 applicants,128 opportunities posted,N/A,Hiring since November 2024
407,Louder World,Full Stack Development,Delhi,6 Months,"₹ 8,000 - 12,000 /month",682 applicants,5 opportunities posted,2 candidates hired,Hiring since January 2025
408,Gloomshinestore Services Private Limited,ReactJS Development,Noida,6 Months,"₹ 3,000 - 15,000 /month",529 applicants,1 opportunity posted,N/A,Hiring since May 2025
409,Absolute Veritas,Web Development,Faridabad,3 Months,"₹ 7,000 - 9,000 /month",378 applicants,70 opportunities posted,3 candidates hired,Hiring since April 2019
410,The Learn Cloud,Backend Development,Work from home,6 Months,"₹ 9,000 /month",1000+ applicants,419 opportunities posted,25 candidates hired,Hiring since October 2021
411,Qualyval,Backend Development,Work from home,6 Months,"₹ 6,000 /month",563 applicants,80 opportunities posted,28 candidates hired,Hiring since November 2020
412,Naksh Jewels,Full Stack Development,Work from home,3 Months,"₹ 4,000 - 7,000 /month",898 applicants,4 opportunities posted,1 candidate hired,Hiring since October 2023
413,Charu  Choudha,Web Development,Work from home,1 Month,"₹ 10,000 /month",1000+ applicants,4 opportunities posted,N/A,Hiring since February 2025
414,Lofaz,Web Development,Mumbai,4 Months,"₹ 3,000 - 5,000 /month",123 applicants,11 opportunities posted,1 candidate hired,Hiring since August 2023
415,BabyCode,Web Development,Work from home,2 Months,"₹ 6,000 - 12,000 /month",1000+ applicants,27 opportunities posted,3 candidates hired,Hiring since October 2021
416,Rydeu Logistics UG,Node.js Development,Work from home,6 Months,"₹ 10,000 - 12,000 /month",1000+ applicants,601 opportunities posted,6 candidates hired,Hiring since December 2019
417,Buddha Education Association Incorporation,Web Development,Work from home,1 Month,"₹ 10,000 /month",1000+ applicants,2123 opportunities posted,13 candidates hired,Hiring since September 2020
418,Faclon,Front End Development,Work from home,3 Months,"₹ 7,000 - 10,000 /month",1000+ applicants,554 opportunities posted,148 candidates hired,Hiring since May 2016
420,ConectYu,React Native Development,Hyderabad                                                    (Hybrid),3 Months,"₹ 3,000 - 3,500 /month",52 applicants,14 opportunities posted,8 candidates hired,Hiring since January 2021
421,VENTU RENEWABLE P.L.,JS XML SQL Development,Chennai                                                    (Hybrid),2 Months,"₹ 4,500 - 18,000 /month",85 applicants,1 opportunity posted,1 candidate hired,Hiring since May 2025
422,Emoolar Technology Private Limited,Web Development,Work from home,3 Months,"₹ 5,000 - 7,000 /month",1000+ applicants,94 opportunities posted,15 candidates hired,Hiring since August 2021
423,Maxgen Technologies Private Limited,MERN Stack Development,Ahmedabad,3 Months,"₹ 7,000 - 12,000 /month",424 applicants,128 opportunities posted,N/A,Hiring since November 2024
424,Wipadika Innovations Private Limited,VueJS Web Frontend,Bangalore,3 Months,"₹ 15,000 - 25,000 /month",401 applicants,5 opportunities posted,3 candidates hired,Hiring since July 2017
